date,rice_price,sugar_price,wheat_price,rainfall_mm,temp_c,month,year,wheat_price_lag1,wheat_price_lag2,wheat_price_lag4,rice_price_lag1,rice_price_lag2,rice_price_lag4,sugar_price_lag1,sugar_price_lag2,sugar_price_lag4,wheat_price_roll4,wheat_price_roll8,rice_price_roll4,rice_price_roll8,sugar_price_roll4,sugar_price_roll8,wheat_price_momentum,rice_price_momentum,sugar_price_momentum,rainfall_lag2,rainfall_lag4,is_summer,is_harvest,is_crushing
2015-04-01,72.535,57.07,37.650000000000006,51.4,24.47833333333333,4,2015,38.25,38.45,39.2,74.285,74.785,76.25,54.1,54.370000000000005,53.69,38.5375,38.978125000000006,74.90124999999999,76.64812500000001,54.065,56.286875,0.0,0.0,0.0,72.8,0.8,0,1,0
2015-05-01,71.785,59.725,36.43,6.0,30.679032258064517,5,2015,37.650000000000006,38.25,38.25,72.535,74.285,74.285,57.07,54.1,54.1,38.150000000000006,38.754374999999996,73.9725,75.915625,54.910000000000004,56.173750000000005,-2.080624187256175,-3.0086247242093966,4.965973882655872,139.5,38.2,1,1,0
2015-06-01,71.34,62.39,35.9,49.0,31.523333333333333,6,2015,36.43,37.650000000000006,38.45,71.785,72.535,74.785,59.725,57.07,54.370000000000005,37.695,38.36125,73.3475,75.089375,56.316250000000004,56.0975,-4.758169934640522,-3.365416975163227,10.397412199630306,51.4,72.8,1,0,0
2015-07-01,70.89500000000001,65.245,37.3,183.1,29.698387096774194,7,2015,35.9,36.43,38.25,71.34,71.785,74.285,62.39,59.725,54.1,37.057500000000005,37.92375,72.48625,74.2075,58.321250000000006,56.545,-4.648074369189925,-1.6474805266422976,9.321885403889961,6.0,139.5,1,0,0
2015-08-01,70.89500000000001,65.07,36.68,134.9,29.37903225806452,8,2015,37.3,35.9,37.650000000000006,70.89500000000001,71.34,72.535,65.245,62.39,57.07,36.82,37.67875,71.63875,73.27,61.1075,57.58625000000001,2.388141641504249,-1.239813331475914,9.242360820426953,49.0,51.4,1,0,0
2015-09-01,70.89500000000001,64.51,37.085,62.5,28.891666666666666,9,2015,36.68,37.3,36.43,70.89500000000001,70.89500000000001,71.785,65.07,65.245,59.725,36.5775,37.36375,71.22875,72.600625,63.1075,59.00875,2.1727019498607225,-0.623773479114087,4.295560185927227,183.1,6.0,0,0,0
2015-10-01,67.39500000000001,62.045,38.66,28.1,25.02741935483871,10,2015,37.085,36.68,35.9,70.89500000000001,70.89500000000001,71.34,64.51,65.07,62.39,36.741249999999994,37.218125,71.00625000000001,72.17687500000001,64.30375000000001,60.31,-0.5764075067024033,0.0,-1.1265231052187907,134.9,49.0,0,0,0
2015-11-01,59.59,59.995000000000005,39.0,7.4,19.41333333333333,11,2015,38.66,37.085,37.3,67.39500000000001,70.89500000000001,70.89500000000001,62.045,64.51,65.245,37.43125,37.244375,70.02000000000001,71.253125,64.2175,61.269375000000004,5.3980370774263875,-4.936878482262497,-4.648839711080366,62.5,183.1,0,0,1
2015-12-01,56.285,57.705,38.75,5.7,14.730645161290322,12,2015,39.0,38.66,36.68,59.59,67.39500000000001,70.89500000000001,59.995000000000005,62.045,65.07,37.85625,37.338125,67.19375000000001,69.41625,62.905,62.00625,5.163812862343264,-15.94611749770789,-6.99891489691521,28.1,134.9,0,0,1
2016-01-01,58.24,60.155,38.75,26.2,13.303225806451612,1,2016,38.75,39.0,37.085,56.285,59.59,70.89500000000001,57.705,59.995000000000005,64.51,38.37375,37.475625,63.541250000000005,67.385,61.063750000000006,62.085625,0.23279875840662712,-16.484902440833903,-6.9949230397292395,7.4,62.5,0,0,1
2016-02-01,60.505,63.035,38.75,15.3,15.732758620689657,2,2016,38.75,38.75,38.66,58.24,56.285,67.39500000000001,60.155,57.705,62.045,38.79,37.765625,60.377500000000005,65.69187500000001,59.975,62.139375,-0.6410256410256387,-2.265480785366669,0.26668889074088487,5.7,28.1,0,0,1
2016-03-01,60.505,63.315000000000005,38.6,87.8,20.59193548387097,3,2016,38.75,38.75,39.0,60.505,58.24,59.59,63.035,60.155,59.995000000000005,38.8125,38.121875,58.655,64.3375,60.222500000000004,62.22,0.0,7.4975570755974275,9.236634607053107,26.2,7.4,0,0,0
2016-04-01,60.505,63.34,37.49,2.9,27.331666666666667,4,2016,38.6,38.75,38.75,60.505,60.505,56.285,63.315000000000005,63.035,57.705,38.7125,38.284375000000004,58.88375,63.03875000000001,61.052499999999995,61.97875,-0.3870967741935405,3.889079670329676,5.253096168232063,15.3,5.7,0,1,0
2016-05-01,60.505,63.73,36.25,11.2,32.65483870967742,5,2016,37.49,38.6,38.75,60.505,60.505,58.24,63.34,63.315000000000005,60.155,38.3975,38.385625000000005,59.93875,61.74,62.46125,61.7625,-3.251612903225798,0.0,0.48385817403031606,87.8,26.2,1,1,0
2016-06-01,60.505,64.815,36.46,47.5,33.875,6,2016,36.25,37.49,38.75,60.505,60.505,60.505,63.73,63.34,63.035,37.7725,38.28125,60.505,60.441250000000004,63.355000000000004,61.665,-6.088082901554404,0.0,0.6554528942588567,2.9,15.3,1,0,0
2016-07-01,60.92,67.57,37.015,155.5,30.470967741935485,7,2016,36.46,36.25,38.6,60.505,60.505,60.505,64.815,63.73,63.315000000000005,37.2,38.00625,60.505,59.58,63.8,62.01125,-2.747399306481735,0.0,2.3287022418692738,11.2,87.8,1,0,0
2016-08-01,62.59,71.535,37.06,149.5,29.51290322580645,8,2016,37.015,36.46,37.49,60.92,60.505,60.505,67.57,64.815,63.34,36.80375,37.758125,60.60875,59.74625,64.86375,62.958124999999995,2.110344827586208,0.685893727791087,6.025419739526128,47.5,2.9,1,0,0
2016-09-01,64.09,71.535,37.315,3.7,29.776666666666664,9,2016,37.06,37.015,36.25,62.59,60.92,60.505,71.535,67.57,63.73,36.69625,37.546875,61.13,60.534375,66.9125,64.686875,1.645639056500281,3.445996198661261,10.367970377227497,155.5,11.2,0,0,0
2016-10-01,65.09,71.35,37.69,7.7,26.443548387096776,10,2016,37.315,37.06,36.46,64.09,62.59,60.505,71.535,71.535,64.815,36.9625,37.3675,62.026250000000005,61.265625,68.86375,66.109375,0.810482236930965,5.203545633617868,5.867988752404929,149.5,47.5,0,0,0
2016-11-01,65.09,71.21000000000001,37.875,0.9,20.28,11,2016,37.69,37.315,37.015,65.09,64.09,60.92,71.35,71.535,67.57,37.269999999999996,37.235,63.17250000000001,61.838750000000005,70.49749999999999,67.14874999999999,1.699946033459243,3.994248282473234,-0.2586146641504139,3.7,155.5,0,0,1
2016-12-01,65.09,62.83,38.0,0.4,16.306451612903224,12,2016,37.875,37.69,37.06,65.09,65.09,62.59,71.21000000000001,71.35,71.535,37.485,37.144375,64.215,62.411875,71.4075,68.135625,1.5007369690473116,1.5603058199407105,-0.4543230586426028,7.7,149.5,0,0,1
2017-01-01,66.03,63.645,38.0,62.0,12.919354838709678,1,2017,38.0,37.875,37.315,65.09,65.09,64.09,62.83,71.21000000000001,71.535,37.72,37.208124999999995,64.84,62.985,69.23125,68.07187499999999,0.8224993366940936,0.0,-11.941135248773648,0.9,3.7,0,0,1
2017-02-01,69.795,62.965,38.0,15.5,16.8125,2,2017,38.0,38.0,37.69,66.03,65.09,65.09,63.645,62.83,71.35,37.89125,37.426874999999995,65.325,63.675625000000004,67.25874999999999,68.06125,0.3300330033003229,1.4441542479643577,-10.623507934278898,0.4,7.7,0,0,1
2017-03-01,70.83500000000001,61.08,37.95,23.6,21.114516129032257,3,2017,38.0,38.0,37.875,69.795,66.03,65.09,62.965,63.645,71.21000000000001,37.96875,37.619375,66.50125,64.836875,65.16250000000001,67.83,0.0,7.2284529113535,0.21486551010665433,62.0,0.9,0,0,0
2017-04-01,73.01,60.615,36.765,15.4,28.665000000000003,4,2017,37.95,38.0,38.0,70.83500000000001,69.795,65.09,61.08,62.965,62.83,37.987500000000004,37.73625,67.9375,66.07625,62.629999999999995,67.01875,-0.1315789473684159,7.276995305164324,-4.030167334433187,15.5,0.4,0,1,0
